age,income,region,job_type,owns_car,amount_spent,score,target
42,42331,South,HR,0,910,0.16,0
62,35155,North,Admin,1,1571,0.69,0
58,48113,North,Sales,0,1487,0.17,0
46,50835,South,Tech,0,1665,0.31,0
32,66412,North,Sales,1,952,0.5,0
62,24613,South,HR,1,1088,0.8,0
18,72943,North,HR,0,545,0.74,0
42,47629,East,HR,0,1443,0.65,0
24,43596,East,Sales,0,649,0.16,0
26,34818,South,Admin,1,1065,0.55,0
41,25177,North,Sales,0,670,0.09,0
18,62347,West,Tech,0,823,0.38,0
61,51099,North,Admin,1,748,0.41,0
25,30650,East,HR,1,817,0.04,0
41,30573,East,Sales,0,838,0.27,0
28,44963,North,HR,1,835,0.96,0
34,75035,North,HR,1,1250,0.95,1
25,46106,West,Tech,0,668,0.35,0
52,27452,West,Admin,1,1066,0.04,0
52,46313,North,Tech,1,1365,0.18,0
50,45909,North,Tech,0,846,0.39,0
22,9546,North,Tech,1,784,0.95,0
59,49185,North,HR,0,930,0.14,0
56,46535,South,Tech,0,1353,0.76,0
58,60443,North,Tech,1,1058,0.11,0
45,77734,West,Admin,1,840,0.98,1
24,66898,East,Admin,1,1145,0.38,0
26,45966,South,Tech,0,669,0.78,0
25,33402,North,Admin,1,1204,0.34,0
29,88600,East,Admin,0,1122,0.63,0
51,50888,South,Tech,1,907,0.19,0
50,50208,East,HR,1,748,0.15,0
40,49638,North,Tech,1,733,0.94,0
41,52971,North,Admin,0,1160,0.92,0
54,47834,West,HR,1,1368,0.89,0
52,41395,North,Sales,1,808,0.63,0
61,41797,North,HR,0,1137,0.81,0
57,49508,South,Admin,0,373,0.07,0
39,41848,West,HR,1,824,0.33,0
44,39307,South,Tech,1,990,0.31,0
52,51596,East,Sales,1,727,0.64,0
18,46175,North,Sales,0,719,0.36,0
52,72559,East,Sales,0,799,0.15,0
54,10235,South,Admin,0,1087,0.6,0
64,66372,North,Admin,0,943,0.81,0
31,68691,North,Sales,1,328,0.38,0
20,18899,South,HR,0,363,0.13,0
18,44859,South,Sales,0,817,0.2,0
22,44428,South,HR,0,1137,0.24,0
43,28887,South,HR,1,175,0.3,0
31,38332,South,Admin,1,850,0.64,0
56,33341,North,HR,0,842,0.6,0
44,76284,South,Sales,0,1416,0.7,0
26,64035,North,Admin,1,884,0.36,0
32,69073,North,Tech,1,1114,0.82,1
32,60825,South,Tech,1,1042,0.2,0
43,33064,South,Admin,1,360,0.47,0
59,42132,West,Sales,1,1230,0.8,0
30,57340,North,Tech,1,1064,0.18,0
49,31668,South,Tech,1,1152,0.11,0
56,60694,South,HR,1,2177,0.88,1
49,46395,South,HR,0,374,0.34,0
21,44377,West,Sales,0,1517,0.68,0
47,60664,West,Admin,0,913,0.03,0
54,56663,East,Sales,0,1086,0.69,0
40,44585,North,Admin,0,986,0.32,0
56,67389,East,Tech,0,872,0.06,0
62,33784,South,HR,1,829,0.61,0
32,59239,West,Sales,1,1098,0.24,0
60,58896,West,Sales,0,544,0.39,0
46,45356,East,Admin,0,1225,0.08,0
53,54891,West,Admin,1,875,0.15,0
30,31233,South,Sales,1,660,0.3,0
49,63860,West,Admin,1,864,0.09,0
24,47226,East,Sales,0,1377,0.91,0
39,42159,South,Sales,1,839,0.01,0
45,65735,East,Sales,0,1107,0.48,0
19,39434,West,Tech,0,780,0.12,0
59,28873,East,Admin,1,1227,0.31,0
62,26650,East,HR,1,1205,0.93,0
23,59090,North,HR,0,1554,0.16,0
45,30793,West,Admin,1,947,0.97,0
45,76321,West,Sales,1,1200,0.21,0
61,18771,East,HR,0,1029,0.74,0
61,75446,North,HR,1,1388,0.55,1
37,53165,West,Admin,0,784,0.88,0
47,48549,South,HR,0,1223,0.55,0
28,41826,East,Sales,1,941,0.53,0
45,55987,West,Admin,0,980,0.2,0
42,49435,South,Sales,0,1027,0.17,0
56,66549,West,HR,1,1075,0.92,1
50,51713,South,HR,1,965,0.33,0
18,52254,East,Sales,1,1064,0.37,0
44,44545,West,Tech,0,1473,0.76,0
30,49145,West,HR,0,1295,0.34,0
58,54617,North,Tech,1,1260,0.95,0
20,24347,East,HR,0,863,0.74,0
56,29777,South,Tech,1,733,0.6,0
23,61148,West,Tech,1,1286,0.88,1
25,52562,West,Tech,0,1262,0.05,0
44,47240,South,Sales,1,1441,0.26,0
26,50276,East,Tech,0,818,0.47,0
54,55213,North,Tech,0,931,0.23,0
50,41903,North,Tech,1,508,0.74,0
59,38325,West,HR,0,882,0.92,0
61,52937,South,Tech,1,1298,0.42,0
41,35324,West,HR,0,860,0.34,0
32,56123,South,Tech,0,1192,0.96,0
49,24461,North,Tech,0,942,0.44,0
49,65437,East,Sales,1,1097,0.49,0
41,57088,South,HR,0,655,0.35,0
58,53840,North,Tech,1,1025,0.91,0
29,64740,West,HR,0,102,0.57,0
56,74982,South,HR,0,943,0.76,0
19,65215,East,Admin,1,510,0.81,1
20,22386,West,Sales,1,1361,0.34,0
54,30806,West,Sales,1,1233,0.43,0
34,40627,North,Sales,1,1140,0.85,0
19,50391,South,Admin,1,1456,0.36,0
19,57764,West,Admin,0,715,0.79,0
45,39113,East,Sales,0,1524,0.94,0
40,52801,South,Admin,1,1279,0.62,0
54,38669,East,Admin,0,929,0.74,0
49,40827,West,Admin,0,1340,0.81,0
50,28900,East,Sales,0,668,0.85,0
18,36151,North,Sales,1,752,0.4,0
36,29724,East,Sales,0,817,0.05,0
19,35361,South,Admin,0,841,0.4,0
61,65804,East,Sales,0,683,0.67,0
43,35759,East,Admin,1,1366,0.45,0
49,89485,North,Tech,0,922,0.75,0
23,57399,East,Admin,0,1105,0.36,0
49,52772,East,HR,1,828,0.63,0
21,37124,West,Sales,1,453,0.19,0
28,60504,West,Sales,0,1081,0.75,0
34,41365,South,HR,0,426,0.55,0
55,51830,West,Admin,1,979,0.2,0
41,88401,West,Tech,1,589,0.29,0
22,48559,West,HR,1,1596,0.75,0
51,67239,West,HR,1,1273,0.48,0
23,39452,North,Admin,1,1031,0.22,0
39,49475,West,Sales,1,1379,0.97,0
28,76562,North,Admin,1,746,0.72,1
33,40595,North,HR,0,1163,0.96,0
50,77186,West,HR,1,1059,0.43,0
26,60616,East,Sales,1,1079,0.48,0
23,41562,North,Sales,0,1381,0.9,0
33,59486,East,Sales,1,1219,0.53,1
46,64588,East,Admin,1,1086,0.71,1
20,59327,West,Sales,0,503,0.25,0
37,26446,South,HR,1,711,0.45,0
53,39092,West,HR,0,963,0.12,0
36,46287,South,Tech,0,1028,0.21,0
43,48883,South,Admin,0,660,0.0,0
20,59310,West,Tech,0,1723,0.04,0
36,52665,West,HR,1,1454,0.98,0
37,29969,South,Tech,0,1180,0.24,0
49,55702,West,HR,0,1021,0.66,0
24,59158,South,Tech,1,936,0.84,1
58,58396,East,Sales,0,714,0.55,0
50,66211,West,Tech,0,1023,0.15,0
57,62508,East,Sales,0,1077,0.73,0
56,56887,North,Sales,0,627,0.6,0
35,48947,East,Admin,1,1100,0.73,0
57,25085,East,Sales,0,953,0.77,0
18,56444,South,Sales,1,427,0.98,1
28,53115,East,Tech,1,741,0.57,0
45,54073,West,HR,0,875,0.34,0
42,30848,South,Admin,0,1566,0.65,0
40,33784,North,Sales,0,1166,0.07,0
48,65797,West,Admin,0,599,0.9,0
47,49406,North,Tech,1,1145,0.12,0
59,60222,East,Sales,1,535,0.33,0
52,50424,West,Tech,1,1324,0.82,0
24,50446,West,Admin,0,858,0.6,0
33,64074,North,Tech,1,971,0.39,0
43,42259,West,Admin,0,1397,0.47,0
19,51441,West,Tech,0,613,0.85,0
18,43065,West,Admin,0,580,0.34,0
29,43482,East,HR,0,824,0.87,0
22,45362,North,Tech,0,1311,0.09,0
54,53332,West,Tech,1,544,0.78,0
49,42818,South,HR,1,150,0.85,0
26,68836,South,HR,0,864,0.18,0
58,36580,South,Tech,1,1165,0.43,0
52,47196,South,HR,0,1360,0.17,0
36,43404,East,Sales,0,861,0.71,0
33,71704,West,Admin,0,876,0.54,0
20,52948,North,Admin,1,1346,0.64,0
37,65477,West,Admin,0,439,0.2,0
41,27716,East,Sales,0,883,0.21,0
50,54005,South,HR,1,1057,0.04,0
41,63344,East,HR,1,1134,0.32,0
28,51234,West,Tech,1,847,0.56,0
25,65982,North,HR,0,1010,0.86,0
53,42240,East,Tech,0,253,0.67,0
55,71140,North,Sales,1,802,0.44,0
57,84483,East,Admin,0,1136,0.95,0
37,44557,North,Admin,1,705,0.72,0
52,43317,North,Admin,1,1017,0.93,0
42,71800,South,HR,0,1134,0.53,0
52,73693,North,Tech,0,897,0.26,0
42,42157,South,Tech,1,1051,0.05,0
46,43697,West,Sales,1,711,0.73,0
35,45773,West,HR,1,938,0.12,0
63,29833,South,Sales,1,1183,0.3,0
35,36220,South,Tech,0,1047,0.53,0
19,34937,East,Tech,1,824,0.56,0
52,38483,East,Admin,1,1067,0.6,0
33,49479,East,HR,1,1214,0.17,0
58,53513,West,Tech,0,385,0.38,0
53,73257,East,Admin,0,1347,0.62,0
50,35024,North,HR,1,899,0.97,0
21,64764,North,Sales,0,1127,0.73,0
50,46790,East,HR,0,1359,0.92,0
31,49258,North,HR,0,588,0.76,0
38,60122,West,Tech,1,787,0.59,1
37,33159,North,Tech,1,913,0.19,0
25,55736,West,HR,0,764,0.67,0
24,52496,South,Tech,1,1520,0.62,0
20,57386,South,Tech,1,742,0.6,1
34,54337,South,Tech,0,833,0.49,0
50,86829,South,Admin,0,1061,0.53,0
29,40433,North,Admin,1,639,0.33,0
39,42035,East,HR,0,881,0.52,0
39,40652,North,Tech,1,1095,0.2,0
63,41667,West,Admin,1,900,0.81,0
47,40439,North,HR,0,971,0.19,0
55,67835,North,Tech,1,841,0.08,0
55,71307,West,Sales,1,545,0.44,0
62,41438,South,Tech,0,1096,0.66,0
25,37514,South,Tech,0,1526,0.44,0
44,57071,South,Admin,0,1005,0.28,0
44,41716,East,HR,1,1067,0.56,0
51,59493,West,HR,0,1207,0.35,0
38,53043,West,Admin,0,619,0.93,0
47,27263,North,Tech,0,1510,0.92,0
50,73212,East,Sales,0,1060,0.5,0
45,76938,South,Tech,1,1489,0.33,0
64,40808,East,Tech,1,780,0.74,0
50,44184,West,Sales,0,1545,0.04,0
22,54287,West,Admin,1,1232,0.47,0
36,55016,North,HR,0,1165,0.34,0
21,59878,North,Admin,0,1070,0.92,0
52,80153,West,Admin,1,925,0.01,0
34,47345,South,Tech,1,1360,0.55,0
61,38025,South,HR,0,1042,0.74,0
45,29310,East,HR,0,409,0.49,0
47,39036,West,Admin,1,664,0.09,0
46,49503,West,Sales,0,944,0.97,0
63,76918,South,Admin,1,1092,0.52,1
23,42235,South,Sales,0,983,0.61,0
52,53356,West,HR,0,1365,0.24,0
58,49753,North,Admin,1,414,0.48,0
54,67825,West,Tech,1,1043,0.43,0
41,87903,West,Admin,1,454,0.07,0
46,42036,South,HR,1,1227,0.11,0
63,42658,South,Tech,1,971,0.84,0
48,65662,North,Tech,1,1125,0.24,0
52,60228,North,Sales,1,740,0.19,0
50,77700,East,Tech,0,1383,0.5,0
38,58758,West,Tech,0,1312,0.77,0
49,44610,South,Admin,0,1175,0.06,0
40,58859,North,HR,1,961,0.58,1
50,66630,East,Sales,1,1173,0.12,0
20,62307,East,Admin,1,787,0.04,0
35,57609,South,Tech,0,1256,0.05,0
42,66000,South,Tech,1,1494,0.83,1
59,67539,East,Sales,1,1321,0.12,0
48,70732,North,HR,0,781,0.05,0
20,59730,East,Sales,1,1108,0.44,0
57,47493,West,Admin,0,612,0.84,0
63,52200,West,Sales,0,1171,0.26,0
41,68097,South,Tech,1,1135,0.42,0
49,37745,North,Admin,1,439,0.04,0
64,55530,North,Tech,1,651,0.45,0
39,44099,West,HR,0,915,0.58,0
40,50431,East,Tech,0,909,0.57,0
19,69176,South,Tech,0,637,0.33,0
44,52866,East,Sales,1,1116,0.32,0
59,50696,East,Tech,1,1075,0.11,0
19,29602,East,Admin,1,941,0.37,0
43,61193,North,Admin,1,773,0.1,0
34,59682,West,HR,0,1314,0.77,0
57,82448,North,Admin,0,1496,0.97,0
50,45383,West,Sales,0,854,0.97,0
26,53287,South,HR,0,816,0.87,0
60,53740,South,Admin,1,1147,0.6,0
56,73661,East,Sales,1,892,0.7,1
46,48570,West,Admin,1,958,0.29,0
59,54185,West,Admin,0,1221,0.63,0
43,59118,West,Tech,0,427,0.46,0
52,52799,East,Admin,1,1395,0.48,0
42,43303,East,Admin,1,1021,0.76,0
41,52911,South,Sales,0,876,0.28,0
30,66104,North,Sales,1,973,0.32,0
24,34602,West,Tech,0,988,0.92,0
53,51994,West,Admin,0,480,0.06,0
62,39498,North,Tech,0,1448,0.49,0
37,67925,West,Admin,1,1012,0.91,1
18,27152,East,HR,1,1132,0.61,0
25,41616,East,HR,0,1285,0.55,0
63,55658,West,Tech,1,693,0.25,0
33,73482,East,Tech,0,1142,0.34,0
31,49013,East,Tech,0,919,0.85,0
29,41672,West,Sales,0,1254,0.56,0
40,78217,South,Sales,0,361,0.51,0
32,28279,North,Sales,1,970,0.1,0
45,17017,East,Tech,0,819,0.02,0
51,56600,South,Admin,0,1129,0.96,0
19,42469,East,HR,1,1141,0.38,0
49,34681,East,Tech,0,787,0.6,0
40,60625,North,Sales,0,786,0.08,0
39,53657,East,Sales,1,966,0.68,0
42,41538,North,Tech,1,731,0.93,0
39,30795,North,Tech,1,1252,0.58,0
39,63086,North,Sales,0,889,0.13,0
59,59753,South,Admin,1,127,0.58,1
23,48512,West,Sales,1,887,0.77,0
32,77699,South,Sales,0,688,0.41,0
60,33948,West,Tech,0,510,0.88,0
54,27117,West,Admin,0,628,0.65,0
50,39621,North,Sales,0,1032,0.9,0
25,49316,East,Sales,0,1398,0.62,0
61,53650,North,HR,1,1093,0.13,0
61,46381,East,Tech,1,818,0.31,0
22,55280,West,HR,1,1136,0.2,0
56,31226,North,HR,0,862,0.91,0
21,71656,East,Sales,0,791,0.76,0
23,48767,South,Tech,0,653,0.68,0
62,66759,East,Admin,1,474,0.3,0
49,55140,North,Sales,1,883,0.18,0
47,56851,South,Admin,0,1047,0.76,0
64,58546,East,Admin,1,971,0.47,0
52,56715,East,Tech,0,875,0.23,0
57,59640,East,HR,1,716,0.62,1
33,69937,East,Tech,1,1182,0.04,0
30,52947,East,Admin,1,604,0.33,0
59,60635,South,Sales,0,1232,0.47,0
47,48653,West,Admin,1,699,0.15,0
36,71601,South,Sales,1,774,0.98,1
34,39854,South,Sales,0,559,0.21,0
36,77014,South,Tech,1,849,0.13,0
45,49397,West,Admin,0,1292,0.2,0
43,28538,North,HR,0,1154,0.77,0
54,51921,West,Admin,0,1293,0.43,0
43,39784,South,Admin,0,1156,0.57,0
40,62609,East,HR,0,668,0.02,0
26,40210,East,Tech,1,900,0.03,0
29,43307,South,Admin,0,765,0.45,0
18,21656,East,Admin,0,1399,0.82,0
18,43215,South,Sales,0,640,0.89,0
64,13641,East,Admin,0,1268,0.09,0
51,26241,West,HR,1,1267,0.54,0
49,61406,North,Sales,0,1548,0.91,0
42,61787,North,Tech,1,877,0.39,0
57,56381,West,Sales,0,1213,0.83,0
62,35495,West,HR,1,1684,0.13,0
18,49284,South,HR,0,814,0.94,0
33,49945,South,Sales,0,539,0.75,0
56,32624,South,Tech,1,435,0.94,0
22,72550,East,Sales,0,1213,0.68,0
39,63160,South,Tech,1,435,0.36,0
46,46685,West,Sales,0,888,0.94,0
20,50403,North,HR,1,1131,0.28,0
29,53125,East,Admin,0,1055,0.33,0
43,19373,South,Admin,0,1127,0.7,0
33,46292,East,Tech,1,1066,0.77,0
54,39770,East,Tech,0,1383,0.93,0
39,34975,South,Tech,0,714,0.2,0
46,45783,East,HR,0,796,0.8,0
31,76965,North,Sales,0,768,0.74,0
45,59612,West,HR,0,1249,0.06,0
22,41432,West,Admin,0,1270,0.39,0
64,58588,North,Tech,1,1135,0.28,0
47,70990,East,Sales,1,1355,0.3,0
63,63869,South,Admin,1,646,0.98,1
22,50894,East,Admin,0,1500,0.64,0
29,40295,North,Admin,1,1456,0.72,0
33,60473,East,HR,0,1220,0.98,0
43,55902,West,Tech,0,1534,0.38,0
43,63427,East,Admin,0,503,0.8,0
38,59527,North,Tech,0,842,0.43,0
56,65743,West,HR,1,779,0.87,1
53,41971,East,Admin,0,1216,0.18,0
50,69760,East,HR,1,684,0.95,1
47,52963,West,HR,0,1227,0.22,0
54,81128,South,Tech,1,1411,0.33,0
40,39662,West,Admin,1,1208,0.76,0
27,76039,South,HR,1,1085,0.39,0
22,52968,North,Admin,1,703,0.61,0
53,40228,North,Tech,1,745,0.44,0
51,42741,West,HR,1,1374,0.74,0
48,45194,West,Tech,0,1233,0.23,0
27,56362,North,Admin,1,988,0.06,0
36,57842,South,Admin,0,874,0.3,0
49,41394,North,Tech,1,392,0.47,0
18,49634,West,Sales,0,678,0.17,0
22,82134,North,HR,1,1573,0.35,0
62,75913,West,Admin,1,615,0.4,0
21,56544,West,Admin,0,1056,0.06,0
33,50570,North,HR,1,1302,0.58,0
41,51800,South,Tech,1,623,0.88,0
33,59202,East,Tech,1,1055,0.15,0
19,34658,North,Tech,0,1281,0.6,0
45,46139,East,Sales,1,1003,0.66,0
49,24971,North,Sales,0,1860,0.42,0
44,55988,East,Admin,1,499,0.7,1
37,59707,South,Tech,1,1317,0.41,0
41,42752,South,HR,0,948,0.5,0
29,73609,North,Admin,1,1231,0.01,0
52,31613,West,HR,1,1132,0.69,0
50,28034,East,Admin,0,780,0.66,0
50,53366,West,Sales,1,1068,0.04,0
60,65706,West,Admin,0,442,0.37,0
54,75258,West,Sales,0,1180,0.98,0
29,43116,South,Admin,0,1089,0.42,0
20,66180,North,Tech,1,1191,0.5,0
18,49422,North,HR,0,1317,0.91,0
50,47410,South,Tech,0,1110,0.72,0
57,63254,South,Admin,1,1044,0.58,1
27,59784,North,Admin,0,735,0.8,0
60,26354,West,Admin,1,786,0.86,0
61,72148,East,Sales,1,1356,0.46,0
46,70701,East,HR,1,1430,0.48,0
30,40616,East,HR,1,928,0.39,0
29,55937,West,Admin,0,1013,0.97,0
48,57410,North,Admin,0,728,0.7,0
63,53910,South,Sales,0,1351,0.08,0
19,41745,North,Tech,0,1199,0.86,0
52,39925,West,Tech,0,1582,0.48,0
40,49616,South,HR,1,736,0.07,0
34,67590,West,Sales,0,886,0.55,0
43,58154,East,Admin,0,1069,0.42,0
25,44440,East,HR,0,1193,0.88,0
46,61575,West,Sales,1,935,0.2,0
43,7271,South,Tech,1,738,0.83,0
27,67231,South,Sales,0,1264,0.56,0
43,23904,North,Tech,1,1216,0.05,0
51,44563,East,Sales,0,725,0.97,0
58,33204,North,HR,0,1406,0.51,0
24,30579,North,Tech,1,1351,0.29,0
21,67412,West,HR,1,1040,0.47,0
62,42984,West,HR,0,1023,0.86,0
28,55197,North,Tech,0,1166,0.3,0
46,49296,East,Tech,1,741,0.19,0
53,57155,West,Admin,0,1009,0.13,0
42,51152,North,Admin,1,354,0.3,0
38,30755,North,Admin,0,1262,0.78,0
53,64944,North,HR,1,531,0.47,0
27,42593,North,HR,0,1451,0.23,0
54,26651,North,Admin,0,900,0.17,0
26,43578,North,HR,1,936,0.33,0
41,72511,West,HR,0,811,0.94,0
52,62753,East,Tech,0,913,0.34,0
52,44770,North,Tech,1,1425,0.99,0
53,44761,South,HR,0,253,0.49,0
35,45175,West,Admin,0,1383,0.18,0
56,81151,West,Sales,0,1101,0.89,0
49,55729,North,Admin,1,637,0.46,0
41,56450,West,Sales,1,677,0.71,1
40,65454,North,Admin,1,1502,0.98,1
49,53581,East,Tech,0,716,0.05,0
54,46114,East,HR,0,653,0.1,0
29,47054,West,HR,0,1341,0.72,0
30,48925,West,Tech,0,1101,0.28,0
40,49441,South,Sales,1,718,0.18,0
42,60914,West,Sales,0,1064,0.04,0
52,50779,South,Sales,0,692,0.02,0
58,60989,East,Tech,0,1330,0.77,0
47,48789,East,Sales,1,1318,0.13,0
34,51179,North,Tech,0,1159,0.47,0
37,20026,East,Admin,0,1108,0.61,0
42,63744,South,Admin,0,1528,0.43,0
39,55197,West,Tech,0,999,0.03,0
30,64970,North,HR,0,645,0.78,0
36,6556,South,Admin,1,1134,0.01,0
53,81325,West,Sales,0,1625,0.76,0
29,47906,North,Tech,0,695,0.89,0
58,66622,East,Sales,0,891,0.43,0
36,34401,South,Sales,0,1124,0.54,0
29,59191,West,HR,0,983,0.48,0
26,34198,North,Sales,0,705,0.39,0
24,40643,North,HR,0,1336,0.89,0
45,78710,East,Admin,0,1696,0.89,0
31,47139,West,Tech,0,1058,0.34,0
48,53261,East,Sales,0,728,0.62,0
36,63051,East,Tech,1,535,0.93,1
64,57435,West,Sales,1,1077,0.96,1
33,52256,West,Tech,1,1331,0.51,0
22,55474,West,Sales,1,1142,0.45,0
52,86051,South,Sales,0,999,0.28,0
29,49135,West,Sales,1,823,0.96,0
42,53016,North,Sales,1,672,0.14,0
38,65759,East,Sales,0,1250,0.58,0
53,66582,South,Sales,1,1274,0.28,0
40,67805,West,Sales,1,536,0.28,0
33,59580,South,Sales,0,1476,0.4,0
56,32854,West,Sales,0,1172,1.0,0
62,74501,South,Tech,0,1419,0.05,0
59,32804,East,HR,1,597,0.58,0
56,54539,East,Sales,1,590,0.08,0
31,38685,North,HR,0,955,0.15,0
48,49037,North,Sales,0,1150,0.44,0
22,54931,West,Sales,1,1538,0.51,0
52,54820,East,Tech,0,1211,0.26,0
40,56328,South,Admin,1,927,0.32,0
46,74205,South,Admin,0,692,0.09,0
60,56803,South,Tech,0,1369,0.3,0
28,46337,North,HR,1,710,0.97,0
35,64461,South,Admin,0,1488,0.94,0
64,67842,North,Tech,0,914,0.33,0
29,31585,North,Tech,0,1477,0.57,0
26,58961,West,Admin,1,1203,0.91,1
27,60517,South,HR,0,958,0.01,0
61,45536,South,Tech,0,844,0.81,0
34,70635,East,Sales,0,897,0.95,0
55,47749,West,HR,0,1128,0.09,0
24,51883,East,HR,0,1023,0.16,0
63,47403,West,Admin,0,821,0.96,0
30,50233,South,Admin,1,950,0.54,0
57,33555,North,Sales,1,1023,0.01,0
59,28399,North,Tech,0,361,0.26,0
26,73917,North,Admin,1,1137,0.45,0
44,37295,North,Admin,1,706,0.69,0
19,35129,North,HR,0,654,0.73,0
22,17699,East,Admin,1,493,1.0,0
46,40415,West,Admin,1,461,0.29,0
54,30153,South,Admin,1,593,0.54,0
55,74630,East,Admin,1,787,0.53,1
36,65147,West,HR,1,1585,0.41,0
25,39677,North,Sales,1,842,0.17,0
62,83786,West,Sales,1,1053,0.98,1
18,64726,West,Tech,1,1120,0.85,1
39,45127,North,Admin,0,1039,0.5,0
34,12508,North,HR,0,976,0.6,0
24,84364,North,Tech,1,641,0.23,0
42,29156,South,Tech,1,1435,0.54,0
62,25319,North,Sales,0,1542,0.69,0
21,65338,South,HR,1,495,0.52,1
53,86596,North,HR,1,692,0.99,1
23,70764,South,HR,0,916,0.61,0
48,58458,West,Sales,0,710,0.37,0
36,58921,East,Sales,0,1151,0.77,0
61,62801,West,Sales,1,781,0.17,0
56,61383,West,Sales,1,1649,0.38,0
44,54217,North,Sales,0,1357,0.35,0
27,51563,South,Admin,0,1063,0.43,0
43,49061,East,Admin,1,1308,0.78,0
36,38690,North,HR,0,1331,0.48,0
56,45789,North,Tech,1,830,0.79,0
20,24605,North,HR,1,755,0.58,0
62,48524,West,Tech,0,1023,0.34,0
30,35171,South,Sales,0,1258,0.81,0
45,33446,South,Tech,1,1041,0.24,0
37,52698,East,HR,0,526,0.22,0
45,70880,South,HR,0,759,0.5,0
25,63774,South,Tech,0,977,0.26,0
58,26442,North,Admin,0,977,0.01,0
56,35155,North,Sales,1,1591,0.65,0
18,64111,West,Sales,1,584,0.51,1
20,35262,North,HR,1,1151,0.45,0
30,46630,North,Admin,1,1446,0.97,0
45,58250,North,Tech,0,1681,0.57,0
42,35474,North,Sales,0,878,0.86,0
50,51580,West,Admin,1,1147,0.14,0
55,29989,North,Sales,1,1170,0.57,0
23,40979,East,Admin,0,1058,0.87,0
61,54796,East,Admin,1,970,0.58,0
